"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 06 04:30:39 UTC 2024","Sat Apr 06 04:30:54 UTC 2024","14824","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Apr 06 03:53:12 UTC 2024","Sat Apr 06 03:53:15 UTC 2024","2553","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Apr 06 05:17:36 UTC 2024","Sat Apr 06 05:17:45 UTC 2024","9548","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Apr 06 03:53:24 UTC 2024","Sat Apr 06 03:53:28 UTC 2024","3224","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Apr 06 03:20:52 UTC 2024","Sat Apr 06 03:20:52 UTC 2024","451","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Apr 06 05:50:43 UTC 2024","Sat Apr 06 05:51:10 UTC 2024","27102","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sat Apr 06 03:48:40 UTC 2024","Sat Apr 06 03:48:58 UTC 2024","18233","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Apr 06 03:52:42 UTC 2024","Sat Apr 06 03:52:47 UTC 2024","4830","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Apr 06 05:17:45 UTC 2024","Sat Apr 06 05:17:48 UTC 2024","2379","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Apr 06 03:04:57 UTC 2024","Sat Apr 06 03:05:01 UTC 2024","4885","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Apr 06 05:19:45 UTC 2024","Sat Apr 06 05:19:51 UTC 2024","6237","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Apr 06 03:17:43 UTC 2024","Sat Apr 06 03:17:50 UTC 2024","6306","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Apr 06 05:51:10 UTC 2024","Sat Apr 06 05:51:14 UTC 2024","3734","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sat Apr 06 05:20:04 UTC 2024","Sat Apr 06 05:20:05 UTC 2024","858","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Apr 06 05:50:23 UTC 2024","Sat Apr 06 05:50:43 UTC 2024","20168","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Apr 06 03:57:53 UTC 2024","Sat Apr 06 03:58:10 UTC 2024","17413","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Apr 06 05:10:56 UTC 2024","Sat Apr 06 05:15:04 UTC 2024","247617","","18. Check Admin header","","","","2. Check Navbar",""
"broken","Sat Apr 06 04:05:08 UTC 2024","Sat Apr 06 04:05:08 UTC 2024","4","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Apr 06 03:52:34 UTC 2024","Sat Apr 06 03:52:42 UTC 2024","8136","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Apr 06 02:31:47 UTC 2024","Sat Apr 06 02:32:14 UTC 2024","26469","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"failed","Sat Apr 06 04:21:55 UTC 2024","Sat Apr 06 04:24:26 UTC 2024","150447","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Apr 06 03:20:33 UTC 2024","Sat Apr 06 03:20:36 UTC 2024","3000","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Apr 06 02:35:56 UTC 2024","Sat Apr 06 02:36:02 UTC 2024","5466","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Apr 06 03:49:44 UTC 2024","Sat Apr 06 03:49:54 UTC 2024","10162","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Apr 06 05:53:11 UTC 2024","Sat Apr 06 05:53:13 UTC 2024","1635","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
